cycle,party,donor_count,donation_count,total_amount
2008,DEM,20481,41176,21760859.00
2008,REP,2239,3362,2160492.00
2008,OTH,1813,3027,1716568.00
2012,DEM,18944,41917,22535075.00
2012,REP,2283,3608,3074673.00
2012,OTH,1892,3319,2150096.00
2016,DEM,32748,325959,34423162.00
2016,REP,2436,7198,2130319.00
2016,OTH,4128,25043,3888577.00
2020,DEM,52136,762757,93052118.00
2020,REP,3440,21759,3906400.00
2020,OTH,11813,93717,12072916.00
2024,DEM,35388,367338,60069570.00
2024,REP,2470,19176,2424256.00
2024,OTH,9120,76963,11469253.00
2026,DEM,8571,66342,11029299.00
2026,REP,582,6785,518329.00
2026,OTH,4214,32586,4024803.00
