rank,cycle,party,donor_count,donation_count,total_amount
Adjunct,2008,DEM,42,55,75662.00
Adjunct,2008,REP,9,10,6200.00
Adjunct,2008,OTH,345,579,386578.00
Adjunct,2012,DEM,126,252,192702.00
Adjunct,2012,REP,14,17,9652.00
Adjunct,2012,OTH,314,517,360493.00
Adjunct,2016,DEM,495,6173,443832.00
Adjunct,2016,REP,77,213,34990.00
Adjunct,2016,OTH,588,3512,852974.00
Adjunct,2020,DEM,1553,21192,1915012.00
Adjunct,2020,REP,147,1034,171785.00
Adjunct,2020,OTH,566,3478,891809.00
Adjunct,2024,DEM,851,11582,1070620.00
Adjunct,2024,REP,103,750,128465.00
Adjunct,2024,OTH,450,4271,501870.00
Adjunct,2026,DEM,231,2405,279763.00
Adjunct,2026,REP,38,260,34058.00
Adjunct,2026,OTH,108,1227,122572.00
Assistant,2008,DEM,50,61,28120.00
Assistant,2008,REP,4,4,1250.00
Assistant,2008,OTH,475,767,376064.00
Assistant,2012,DEM,88,125,60947.00
Assistant,2012,REP,7,7,2100.00
Assistant,2012,OTH,371,566,275268.00
Assistant,2016,DEM,284,2572,155204.00
Assistant,2016,REP,33,79,20799.00
Assistant,2016,OTH,533,2719,321946.00
Assistant,2020,DEM,1194,11806,925849.00
Assistant,2020,REP,63,217,35361.00
Assistant,2020,OTH,399,1358,188020.00
Assistant,2024,DEM,551,2886,456101.00
Assistant,2024,REP,48,227,30607.00
Assistant,2024,OTH,393,1856,209620.00
Assistant,2026,DEM,120,682,103797.00
Assistant,2026,REP,9,29,2721.00
Assistant,2026,OTH,123,556,53025.00
Associate,2008,DEM,57,81,42932.00
Associate,2008,REP,9,12,4220.00
Associate,2008,OTH,443,708,325421.00
Associate,2012,DEM,123,211,119785.00
Associate,2012,REP,11,12,8650.00
Associate,2012,OTH,422,699,305029.00
Associate,2016,DEM,322,3571,245007.00
Associate,2016,REP,33,66,11933.00
Associate,2016,OTH,611,3077,345229.00
Associate,2020,DEM,1001,22488,1051646.00
