state,donor_count,donation_count,dem_amount,rep_amount,oth_amount,total_amount
CA,18444,286709,28164490.00,906900.00,19048634.00,48120024.00
NY,13574,208807,17125072.00,422299.00,14236111.00,31783482.00
MA,9362,140813,18024979.00,346593.00,13353379.00,31724951.00
IL,6183,78944,8550117.00,210409.00,4822707.00,13583233.00
PA,7214,110073,8295308.00,258241.00,4899781.00,13453330.00
TX,6633,93719,6802096.00,747715.00,4489527.00,12039338.00
MI,5227,72362,6602462.00,251823.00,3413426.00,10267711.00
MD,4233,56419,5926667.00,118980.00,3753253.00,9798900.00
GA,3190,44404,4695841.00,218981.00,3423001.00,8337823.00
NJ,3845,56668,4855468.00,246670.00,2925082.00,8027220.00
VA,4318,38711,4107676.00,383804.00,2859121.00,7350601.00
CT,2592,35247,4054477.00,69426.00,2921840.00,7045743.00
NC,3699,39585,3529934.00,204812.00,3289379.00,7024125.00
FL,4356,51297,3192474.00,562880.00,2795689.00,6551043.00
DC,1905,22718,3525894.00,32015.00,2694228.00,6252137.00
OH,4400,47296,3617343.00,263030.00,2242149.00,6122522.00
WA,3360,50251,3810886.00,88916.00,1980814.00,5880616.00
IN,2781,39373,3328027.00,192647.00,1761574.00,5282248.00
WI,2438,27281,2732147.00,59499.00,1410460.00,4202106.00
CO,2493,29742,2562684.00,122985.00,1515703.00,4201372.00
MN,2322,27516,2539972.00,97105.00,1491869.00,4128946.00
AZ,2359,30960,2216117.00,79722.00,1264706.00,3560545.00
MO,2115,29494,1905377.00,88264.00,1363680.00,3357321.00
OR,2015,29456,2127625.00,56419.00,973205.00,3157249.00
TN,1972,20787,1613201.00,223502.00,1157516.00,2994219.00
IA,1756,20022,1897167.00,174897.00,903246.00,2975310.00
NH,990,11302,1294570.00,35571.00,716804.00,2046945.00
RI,965,15644,1013280.00,188369.00,589638.00,1791287.00
UT,1055,11676,855103.00,160831.00,705414.00,1721348.00
SC,1166,13126,946124.00,87817.00,501759.00,1535700.00
KS,1019,9499,754497.00,65714.00,490601.00,1310812.00
AL,1031,10944,784744.00,111414.00,373950.00,1270108.00
NE,754,11927,678755.00,74668.00,460423.00,1213846.00
KY,1077,14181,674355.00,71132.00,459637.00,1205124.00
ME,843,9496,734251.00,57631.00,402992.00,1194874.00
NM,841,11229,689671.00,32131.00,441026.00,1162828.00
LA,867,12449,497990.00,94743.00,478709.00,1071442.00
OK,861,9935,540995.00,44299.00,414818.00,1000112.00
ZZ,714,5335,726609.00,202.00,169151.00,895962.00
HI,576,6928,556203.00,14658.00,303594.00,874455.00
ID,407,6033,605075.00,12010.00,220422.00,837507.00
NV,601,6050,475770.00,58546.00,276061.00,810377.00
VT,719,7654,505964.00,10901.00,242879.00,759744.00
MS,485,5504,251721.00,179060.00,311743.00,742524.00
DE,525,6879,487766.00,8722.00,241210.00,737698.00
AR,564,6459,270482.00,32922.00,266498.00,569902.00
MT,447,3539,340552.00,9163.00,118357.00,468072.00
WV,317,3514,178173.00,12030.00,143703.00,333906.00
WY,234,2027,221862.00,8574.00,98570.00,329006.00
AK,290,2619,133527.00,20181.00,100342.00,254050.00
ND,184,2192,94553.00,8025.00,66371.00,168949.00
SD,156,2590,63324.00,29649.00,66141.00,159114.00
PR,87,1225,40674.00,11723.00,43737.00,96134.00
GU,22,509,34667.00,5834.00,9097.00,49598.00
ON,42,290,26270.00,0.00,250.00,26520.00
QC,14,121,16555.00,0.00,0.00,16555.00
VI,16,120,10359.00,0.00,3700.00,14059.00
AB,13,63,12441.00,0.00,0.00,12441.00
BC,20,84,10303.00,0.00,0.00,10303.00
AE,11,49,5459.00,75.00,1122.00,6656.00
AA,22,78,2407.00,0.00,3422.00,5829.00
NA,7,7,0.00,0.00,4000.00,4000.00
IR,2,13,2675.00,0.00,0.00,2675.00
MB,1,1,2500.00,0.00,0.00,2500.00
AS,4,7,790.00,0.00,850.00,1640.00
NB,1,26,1620.00,0.00,0.00,1620.00
AP,4,13,550.00,0.00,548.00,1098.00
MP,2,12,700.00,0.00,370.00,1070.00
NS,1,1,1000.00,0.00,0.00,1000.00
NU,1,7,304.00,0.00,0.00,304.00
LO,1,1,105.00,0.00,0.00,105.00
