university,cycle,party,donor_count,donation_count,total_amount
Adelphi University,2008,DEM,3,4,2750.00
Adelphi University,2008,OTH,2,2,750.00
Adelphi University,2012,DEM,6,6,5900.00
Adelphi University,2012,REP,1,1,1000.00
Adelphi University,2016,DEM,17,151,7577.00
Adelphi University,2016,OTH,3,13,906.00
Adelphi University,2020,DEM,32,401,18484.00
Adelphi University,2020,OTH,8,66,2203.00
Adelphi University,2024,DEM,11,64,4733.00
Adelphi University,2024,OTH,2,23,698.00
Adelphi University,2026,DEM,1,1,400.00
Adelphi University,2026,OTH,2,6,525.00
Albert Einstein College of Medicine,2008,DEM,14,22,10696.00
Albert Einstein College of Medicine,2012,DEM,15,30,15700.00
Albert Einstein College of Medicine,2012,OTH,2,2,700.00
Albert Einstein College of Medicine,2016,DEM,21,393,30861.00
Albert Einstein College of Medicine,2016,REP,1,1,2700.00
Albert Einstein College of Medicine,2016,OTH,5,6,1025.00
Albert Einstein College of Medicine,2020,DEM,23,1422,62678.00
Albert Einstein College of Medicine,2020,REP,1,1,100.00
Albert Einstein College of Medicine,2020,OTH,10,244,7998.00
Albert Einstein College of Medicine,2024,DEM,14,406,20234.00
Albert Einstein College of Medicine,2024,REP,1,3,250.00
Albert Einstein College of Medicine,2024,OTH,8,142,8178.00
Albert Einstein College of Medicine,2026,DEM,8,339,40118.00
Albert Einstein College of Medicine,2026,OTH,4,65,2944.00
American University,2008,DEM,122,278,208313.00
American University,2008,REP,6,6,3301.00
American University,2008,OTH,8,12,14335.00
American University,2012,DEM,89,170,85373.00
American University,2012,REP,3,3,1750.00
American University,2012,OTH,12,26,12200.00
American University,2016,DEM,172,1213,248026.00
American University,2016,REP,4,7,750.00
American University,2016,OTH,14,71,10950.00
American University,2020,DEM,256,4420,547830.00
American University,2020,REP,5,11,6410.00
American University,2020,OTH,54,409,52840.00
American University,2024,DEM,170,1398,350111.00
American University,2024,REP,4,10,1020.00
American University,2024,OTH,46,234,154884.00
American University,2026,DEM,51,456,151376.00
American University,2026,REP,3,4,7136.00
American University,2026,OTH,19,58,50066.00
Amherst College,2008,DEM,35,67,40220.00
Amherst College,2008,REP,2,2,1200.00
Amherst College,2008,OTH,1,1,250.00
Amherst College,2012,DEM,20,45,25405.00
Amherst College,2012,OTH,3,3,900.00
Amherst College,2016,DEM,30,167,16590.00
Amherst College,2016,REP,1,1,500.00
Amherst College,2016,OTH,6,21,920.00
Amherst College,2020,DEM,43,541,42778.00
Amherst College,2020,OTH,14,35,5023.00
Amherst College,2024,DEM,33,505,34388.00
Amherst College,2024,REP,1,9,98.00
