university,donor_count,donation_count,dem_amount,rep_amount,oth_amount,total_amount
Other higher-ed (not in top 150),61614,747814,48900518.00,3460157.00,31508303.00,83868978.00
Harvard University,2147,34031,6543411.00,332219.00,5541102.00,12416732.00
Stanford University,1732,25220,5350262.00,198142.00,4451724.00,10000128.00
Columbia University,1839,27729,3837603.00,132314.00,3808315.00,7778232.00
MIT,1027,18403,3080834.00,101384.00,2241336.00,5423554.00
UCLA,1511,26263,2894420.00,70855.00,2171313.00,5136588.00
University of Michigan,1916,31174,3294600.00,75120.00,1736467.00,5106187.00
Emory University,671,14842,2508496.00,26334.00,2017384.00,4552214.00
UC Berkeley,1194,17442,2629789.00,55443.00,1705939.00,4391171.00
SUNY,1471,20982,1202215.00,82577.00,2803892.00,4088684.00
Northwestern University,984,15831,2538044.00,125167.00,1402559.00,4065770.00
University of Texas,1809,21030,2413591.00,150980.00,1472447.00,4037018.00
Yale University,1169,13901,2526295.00,26884.00,1438326.00,3991505.00
New York University,1194,18094,2206411.00,41134.00,1466014.00,3713559.00
Georgetown University,1026,13498,1947887.00,55397.00,1680647.00,3683931.00
CUNY,2171,33121,2115992.00,56913.00,1502938.00,3675843.00
University of Pennsylvania,1157,14925,2009495.00,8541.00,1534310.00,3552346.00
Boston University,1009,15013,2146987.00,17622.00,1113168.00,3277777.00
Duke University,1041,13675,1860899.00,62369.00,1315291.00,3238559.00
University of Chicago,951,12333,1988249.00,35877.00,1090976.00,3115102.00
University of Washington,1429,16808,2010214.00,44085.00,1031549.00,3085848.00
Cornell University,1110,16105,1805337.00,15061.00,1063853.00,2884251.00
University of Wisconsin,1566,18130,1845874.00,21218.00,935041.00,2802133.00
Rutgers University,1294,22385,1794972.00,33032.00,921162.00,2749166.00
Princeton University,785,12327,1672985.00,16700.00,998451.00,2688136.00
University of Maryland,1243,20343,1624153.00,18726.00,1033038.00,2675917.00
University of Minnesota,1111,13612,1588139.00,52761.00,856232.00,2497132.00
Johns Hopkins University,884,10215,1435682.00,13471.00,818537.00,2267690.00
Indiana University,1133,15661,1468294.00,44847.00,742607.00,2255748.00
Tufts University,408,7212,979073.00,17081.00,1233650.00,2229804.00
University of Illinois,1104,12884,1484859.00,14954.00,674738.00,2174551.00
University of Virginia,754,7097,1188009.00,23070.00,765877.00,1976956.00
American University,587,8786,1140633.00,15080.00,750958.00,1906671.00
Michigan State University,862,10291,1289687.00,27641.00,497473.00,1814801.00
University of Miami,466,7924,760332.00,60457.00,962229.00,1783018.00
University of Colorado,1007,9467,1030199.00,61411.00,578161.00,1669771.00
Ohio State University,996,11512,1059987.00,74361.00,534256.00,1668604.00
Rice University,282,4825,982110.00,15800.00,609983.00,1607893.00
UC Davis,679,13471,1031272.00,29353.00,514745.00,1575370.00
University of Pittsburgh,766,8459,1041332.00,26964.00,505466.00,1573762.00
University of Massachusetts,1006,11752,1008883.00,9075.00,539407.00,1557365.00
Vanderbilt University,603,6806,927282.00,37904.00,591123.00,1556309.00
George Washington University,675,6036,837947.00,24166.00,673200.00,1535313.00
Dartmouth College,506,9689,959939.00,12812.00,493013.00,1465764.00
Arizona State University,743,8363,946638.00,27167.00,456738.00,1430543.00
University of Southern California,680,8913,835093.00,17030.00,565334.00,1417457.00
Northeastern University,461,5472,814670.00,3325.00,530918.00,1348913.00
Temple University,598,25665,859812.00,34599.00,432451.00,1326862.00
University of Arizona,850,10438,749217.00,14060.00,548477.00,1311754.00
University of Iowa,679,7312,747897.00,54290.00,408682.00,1210869.00
Penn State University,801,12762,643564.00,32510.00,482293.00,1158367.00
Brown University,490,10108,750151.00,12032.00,384690.00,1146873.00
George Mason University,516,4791,666860.00,64317.00,364278.00,1095455.00
Fordham University,361,5425,560974.00,27155.00,430183.00,1018312.00
University of Utah,571,7732,602713.00,59269.00,354312.00,1016294.00
Carnegie Mellon University,390,4585,691144.00,3103.00,317638.00,1011885.00
University of Missouri,589,11502,550497.00,23040.00,427738.00,1001275.00
University of Florida,686,7958,579233.00,60868.00,348358.00,988459.00
Purdue University,556,6901,517112.00,101961.00,337176.00,956249.00
Syracuse University,438,6234,491178.00,37478.00,407041.00,935697.00
UC San Diego,474,5304,585202.00,5670.00,320098.00,910970.00
